Country Name,Country Code,Indicator Name,GDP_perCapita,Year
Turks and Caicos Islands,TCA,GDP per capita (current US$),0.0,1960
Chad,TCD,GDP per capita (current US$),104.4717189,1960
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),90.62620023,1960
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),0.0,1960
Togo,TGO,GDP per capita (current US$),76.63869662,1960
Thailand,THA,GDP per capita (current US$),100.767475,1960
Tajikistan,TJK,GDP per capita (current US$),0.0,1960
Turkmenistan,TKM,GDP per capita (current US$),0.0,1960
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),365.6952501,1960
Timor-Leste,TLS,GDP per capita (current US$),0.0,1960
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),0.0,1960
Tonga,TON,GDP per capita (current US$),0.0,1960
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),82.34539891,1960
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),128.7340484,1960
Trinidad and Tobago,TTO,GDP per capita (current US$),631.7065847,1960
Tunisia,TUN,GDP per capita (current US$),0.0,1960
Turkey,TUR,GDP per capita (current US$),509.4239634,1960
Tuvalu,TUV,GDP per capita (current US$),0.0,1960
Tanzania,TZA,GDP per capita (current US$),0.0,1960
Uganda,UGA,GDP per capita (current US$),62.50962537,1960
Ukraine,UKR,GDP per capita (current US$),0.0,1960
Upper middle income,UMC,GDP per capita (current US$),209.3637501,1960
Uruguay,URY,GDP per capita (current US$),489.350725,1960
United States,USA,GDP per capita (current US$),3007.123445,1960
Uzbekistan,UZB,GDP per capita (current US$),0.0,1960
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),161.3752968,1960
"Venezuela, RB",VEN,GDP per capita (current US$),955.4464181,1960
British Virgin Islands,VGB,GDP per capita (current US$),0.0,1960
Virgin Islands (U.S.),VIR,GDP per capita (current US$),0.0,1960
Vietnam,VNM,GDP per capita (current US$),0.0,1960
Vanuatu,VUT,GDP per capita (current US$),0.0,1960
World,WLD,GDP per capita (current US$),456.6480555,1960
Samoa,WSM,GDP per capita (current US$),0.0,1960
Kosovo,XKX,GDP per capita (current US$),0.0,1960
"Yemen, Rep.",YEM,GDP per capita (current US$),0.0,1960
South Africa,ZAF,GDP per capita (current US$),443.0099197,1960
Zambia,ZMB,GDP per capita (current US$),232.1885645,1960
Zimbabwe,ZWE,GDP per capita (current US$),278.8138468,1960
Aruba,ABW,GDP per capita (current US$),0.0,1961
Africa Eastern and Southern,AFE,GDP per capita (current US$),146.8537009,1961
Afghanistan,AFG,GDP per capita (current US$),59.86089999,1961
Africa Western and Central,AFW,GDP per capita (current US$),113.114697,1961
Angola,AGO,GDP per capita (current US$),0.0,1961
Albania,ALB,GDP per capita (current US$),0.0,1961
Andorra,AND,GDP per capita (current US$),0.0,1961
Arab World,ARB,GDP per capita (current US$),0.0,1961
United Arab Emirates,ARE,GDP per capita (current US$),0.0,1961
Argentina,ARG,GDP per capita (current US$),0.0,1961
Armenia,ARM,GDP per capita (current US$),0.0,1961
American Samoa,ASM,GDP per capita (current US$),0.0,1961
Antigua and Barbuda,ATG,GDP per capita (current US$),0.0,1961
Australia,AUS,GDP per capita (current US$),1874.732106,1961
Austria,AUT,GDP per capita (current US$),1031.815004,1961
Azerbaijan,AZE,GDP per capita (current US$),0.0,1961
Burundi,BDI,GDP per capita (current US$),71.16718821,1961
Belgium,BEL,GDP per capita (current US$),1350.197673,1961
Benin,BEN,GDP per capita (current US$),95.57223223,1961
Burkina Faso,BFA,GDP per capita (current US$),71.55818009,1961
Bangladesh,BGD,GDP per capita (current US$),97.5952917,1961
Bulgaria,BGR,GDP per capita (current US$),0.0,1961
Bahrain,BHR,GDP per capita (current US$),0.0,1961
"Bahamas, The",BHS,GDP per capita (current US$),1651.317673,1961
Bosnia and Herzegovina,BIH,GDP per capita (current US$),0.0,1961
Belarus,BLR,GDP per capita (current US$),0.0,1961
Belize,BLZ,GDP per capita (current US$),316.4136295,1961
Bermuda,BMU,GDP per capita (current US$),1961.538169,1961
Bolivia,BOL,GDP per capita (current US$),109.061304,1961
Brazil,BRA,GDP per capita (current US$),205.0407821,1961
Barbados,BRB,GDP per capita (current US$),0.0,1961
Brunei Darussalam,BRN,GDP per capita (current US$),0.0,1961
Bhutan,BTN,GDP per capita (current US$),0.0,1961
Botswana,BWA,GDP per capita (current US$),64.17613957,1961
Central African Republic,CAF,GDP per capita (current US$),80.68806373,1961
Canada,CAN,GDP per capita (current US$),2240.433039,1961
Central Europe and the Baltics,CEB,GDP per capita (current US$),0.0,1961
Switzerland,CHE,GDP per capita (current US$),1971.316323,1961
Channel Islands,CHI,GDP per capita (current US$),0.0,1961
Chile,CHL,GDP per capita (current US$),555.1344026,1961
China,CHN,GDP per capita (current US$),75.80583793,1961
Cote d'Ivoire,CIV,GDP per capita (current US$),170.2430505,1961
Cameroon,CMR,GDP per capita (current US$),123.5148081,1961
"Congo, Dem. Rep.",COD,GDP per capita (current US$),197.3913592,1961
"Congo, Rep.",COG,GDP per capita (current US$),145.4059788,1961
Colombia,COL,GDP per capita (current US$),274.0522642,1961
Comoros,COM,GDP per capita (current US$),0.0,1961
Cabo Verde,CPV,GDP per capita (current US$),0.0,1961
Costa Rica,CRI,GDP per capita (current US$),355.0027488,1961
Caribbean small states,CSS,GDP per capita (current US$),476.9014839,1961
Cuba,CUB,GDP per capita (current US$),0.0,1961
Curacao,CUW,GDP per capita (current US$),0.0,1961
Cayman Islands,CYM,GDP per capita (current US$),0.0,1961
Cyprus,CYP,GDP per capita (current US$),0.0,1961
Czech Republic,CZE,GDP per capita (current US$),0.0,1961
Germany,DEU,GDP per capita (current US$),0.0,1961
Djibouti,DJI,GDP per capita (current US$),0.0,1961
Dominica,DMA,GDP per capita (current US$),0.0,1961
Denmark,DNK,GDP per capita (current US$),0.0,1961
Dominican Republic,DOM,GDP per capita (current US$),192.0276125,1961
Algeria,DZA,GDP per capita (current US$),214.7719801,1961
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),78.73446091,1961
Early-demographic dividend,EAR,GDP per capita (current US$),156.0031016,1961
East Asia & Pacific,EAS,GDP per capita (current US$),147.3851174,1961
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),0.0,1961
Europe & Central Asia,ECS,GDP per capita (current US$),0.0,1961
Ecuador,ECU,GDP per capita (current US$),375.2213046,1961
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),0.0,1961
Euro area,EMU,GDP per capita (current US$),1004.978342,1961
Eritrea,ERI,GDP per capita (current US$),0.0,1961
Spain,ESP,GDP per capita (current US$),450.0532892,1961
Estonia,EST,GDP per capita (current US$),0.0,1961
Ethiopia,ETH,GDP per capita (current US$),0.0,1961
European Union,EUU,GDP per capita (current US$),0.0,1961
Fragile and conflict affected situations,FCS,GDP per capita (current US$),143.007902,1961
Finland,FIN,GDP per capita (current US$),1327.427224,1961
Fiji,FJI,GDP per capita (current US$),287.2670559,1961
France,FRA,GDP per capita (current US$),1428.046001,1961
Faroe Islands,FRO,GDP per capita (current US$),0.0,1961
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),0.0,1961
Gabon,GAB,GDP per capita (current US$),331.4358018,1961
United Kingdom,GBR,GDP per capita (current US$),1472.385714,1961
Georgia,GEO,GDP per capita (current US$),0.0,1961
Ghana,GHA,GDP per capita (current US$),190.218883,1961
Gibraltar,GIB,GDP per capita (current US$),0.0,1961
Guinea,GIN,GDP per capita (current US$),0.0,1961
"Gambia, The",GMB,GDP per capita (current US$),0.0,1961
Guinea-Bissau,GNB,GDP per capita (current US$),0.0,1961
Equatorial Guinea,GNQ,GDP per capita (current US$),0.0,1961
Greece,GRC,GDP per capita (current US$),590.7800548,1961
Grenada,GRD,GDP per capita (current US$),0.0,1961
Greenland,GRL,GDP per capita (current US$),0.0,1961
Guatemala,GTM,GDP per capita (current US$),253.22729,1961
Guam,GUM,GDP per capita (current US$),0.0,1961
Guyana,GUY,GDP per capita (current US$),315.3854595,1961
High income,HIC,GDP per capita (current US$),1466.303447,1961
"Hong Kong SAR, China",HKG,GDP per capita (current US$),436.7544115,1961
Honduras,HND,GDP per capita (current US$),169.9097551,1961
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),107.5773111,1961
Croatia,HRV,GDP per capita (current US$),0.0,1961
Haiti,HTI,GDP per capita (current US$),68.76433933,1961
Hungary,HUN,GDP per capita (current US$),0.0,1961
IBRD only,IBD,GDP per capita (current US$),155.2286336,1961
IDA & IBRD total,IBT,GDP per capita (current US$),146.4116609,1961
IDA total,IDA,GDP per capita (current US$),102.438282,1961
IDA blend,IDB,GDP per capita (current US$),104.7303915,1961
Indonesia,IDN,GDP per capita (current US$),0.0,1961
IDA only,IDX,GDP per capita (current US$),105.291512,1961
Isle of Man,IMN,GDP per capita (current US$),0.0,1961
India,IND,GDP per capita (current US$),85.35430099,1961
Not classified,INX,GDP per capita (current US$),0.0,1961
Ireland,IRL,GDP per capita (current US$),739.2764064,1961
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),196.9250906,1961
Iraq,IRQ,GDP per capita (current US$),0.0,1961
Iceland,ISL,GDP per capita (current US$),1418.12587,1961
Israel,ISR,GDP per capita (current US$),1436.384439,1961
Italy,ITA,GDP per capita (current US$),887.3367446,1961
Jamaica,JAM,GDP per capita (current US$),453.0578344,1961
Jordan,JOR,GDP per capita (current US$),0.0,1961
Japan,JPN,GDP per capita (current US$),568.9077427,1961
Kazakhstan,KAZ,GDP per capita (current US$),0.0,1961
Kenya,KEN,GDP per capita (current US$),94.65129268,1961
Kyrgyz Republic,KGZ,GDP per capita (current US$),0.0,1961
Cambodia,KHM,GDP per capita (current US$),109.4603502,1961
Kiribati,KIR,GDP per capita (current US$),0.0,1961
St. Kitts and Nevis,KNA,GDP per capita (current US$),243.8321218,1961
"Korea, Rep.",KOR,GDP per capita (current US$),93.82864905,1961
Kuwait,KWT,GDP per capita (current US$),0.0,1961
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),338.6578544,1961
Lao PDR,LAO,GDP per capita (current US$),0.0,1961
Lebanon,LBN,GDP per capita (current US$),0.0,1961
Liberia,LBR,GDP per capita (current US$),0.0,1961
Libya,LBY,GDP per capita (current US$),0.0,1961
St. Lucia,LCA,GDP per capita (current US$),0.0,1961
Latin America & Caribbean,LCN,GDP per capita (current US$),382.671475,1961
Least developed countries: UN classification,LDC,GDP per capita (current US$),0.0,1961
Low income,LIC,GDP per capita (current US$),0.0,1961
Liechtenstein,LIE,GDP per capita (current US$),0.0,1961
Sri Lanka,LKA,GDP per capita (current US$),142.8381424,1961
Lower middle income,LMC,GDP per capita (current US$),92.8819187,1961
Low & middle income,LMY,GDP per capita (current US$),139.9894272,1961
Lesotho,LSO,GDP per capita (current US$),41.85674859,1961
Late-demographic dividend,LTE,GDP per capita (current US$),152.7506462,1961
Lithuania,LTU,GDP per capita (current US$),0.0,1961
Luxembourg,LUX,GDP per capita (current US$),2222.366366,1961
Latvia,LVA,GDP per capita (current US$),0.0,1961
"Macao SAR, China",MAC,GDP per capita (current US$),0.0,1961
St. Martin (French part),MAF,GDP per capita (current US$),0.0,1961
Morocco,MAR,GDP per capita (current US$),158.9235801,1961
Monaco,MCO,GDP per capita (current US$),0.0,1961
Moldova,MDA,GDP per capita (current US$),0.0,1961
Madagascar,MDG,GDP per capita (current US$),133.8477609,1961
Maldives,MDV,GDP per capita (current US$),0.0,1961
Middle East & North Africa,MEA,GDP per capita (current US$),0.0,1961
Mexico,MEX,GDP per capita (current US$),363.3932709,1961
Marshall Islands,MHL,GDP per capita (current US$),0.0,1961
Middle income,MIC,GDP per capita (current US$),143.1327975,1961
North Macedonia,MKD,GDP per capita (current US$),0.0,1961
Mali,MLI,GDP per capita (current US$),0.0,1961
Malta,MLT,GDP per capita (current US$),0.0,1961
Myanmar,MMR,GDP per capita (current US$),0.0,1961
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),0.0,1961
Montenegro,MNE,GDP per capita (current US$),0.0,1961
Mongolia,MNG,GDP per capita (current US$),0.0,1961
Northern Mariana Islands,MNP,GDP per capita (current US$),0.0,1961
Mozambique,MOZ,GDP per capita (current US$),0.0,1961
Mauritania,MRT,GDP per capita (current US$),181.8360961,1961
Mauritius,MUS,GDP per capita (current US$),0.0,1961
Malawi,MWI,GDP per capita (current US$),46.58158517,1961
Malaysia,MYS,GDP per capita (current US$),225.9335935,1961
North America,NAC,GDP per capita (current US$),2991.592897,1961
Namibia,NAM,GDP per capita (current US$),0.0,1961
New Caledonia,NCL,GDP per capita (current US$),0.0,1961
Niger,NER,GDP per capita (current US$),139.3403234,1961
Nigeria,NGA,GDP per capita (current US$),96.97902998,1961
Nicaragua,NIC,GDP per capita (current US$),131.4506526,1961
Netherlands,NLD,GDP per capita (current US$),1159.392357,1961
Norway,NOR,GDP per capita (current US$),1560.324931,1961
Nepal,NPL,GDP per capita (current US$),51.81124873,1961
Nauru,NRU,GDP per capita (current US$),0.0,1961
New Zealand,NZL,GDP per capita (current US$),2343.292213,1961
OECD members,OED,GDP per capita (current US$),1384.97707,1961
Oman,OMN,GDP per capita (current US$),0.0,1961
Other small states,OSS,GDP per capita (current US$),0.0,1961
Pakistan,PAK,GDP per capita (current US$),89.40903403,1961
Panama,PAN,GDP per capita (current US$),513.2516793,1961
Peru,PER,GDP per capita (current US$),277.5687634,1961
Philippines,PHL,GDP per capita (current US$),267.1828384,1961
Palau,PLW,GDP per capita (current US$),0.0,1961
Papua New Guinea,PNG,GDP per capita (current US$),106.5853255,1961
Poland,POL,GDP per capita (current US$),0.0,1961
Pre-demographic dividend,PRE,GDP per capita (current US$),112.2875346,1961
Puerto Rico,PRI,GDP per capita (current US$),777.2150274,1961
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),0.0,1961
Portugal,PRT,GDP per capita (current US$),382.729947,1961
Paraguay,PRY,GDP per capita (current US$),0.0,1961
West Bank and Gaza,PSE,GDP per capita (current US$),0.0,1961
Pacific island small states,PSS,GDP per capita (current US$),0.0,1961
Post-demographic dividend,PST,GDP per capita (current US$),1447.230631,1961
