Country Name,Country Code,Indicator Name,PopulationDepedency,Year
West Bank and Gaza,PSE,Age dependency ratio (% of working-age population),0.0,1960
Pacific island small states,PSS,Age dependency ratio (% of working-age population),98.16456504,1960
Post-demographic dividend,PST,Age dependency ratio (% of working-age population),59.2608007,1960
French Polynesia,PYF,Age dependency ratio (% of working-age population),85.05000711,1960
Qatar,QAT,Age dependency ratio (% of working-age population),79.52186103,1960
Romania,ROU,Age dependency ratio (% of working-age population),55.52916776,1960
Russian Federation,RUS,Age dependency ratio (% of working-age population),57.36450797,1960
Rwanda,RWA,Age dependency ratio (% of working-age population),103.7333844,1960
South Asia,SAS,Age dependency ratio (% of working-age population),77.57158141,1960
Saudi Arabia,SAU,Age dependency ratio (% of working-age population),87.85138236,1960
Sudan,SDN,Age dependency ratio (% of working-age population),93.16115372,1960
Senegal,SEN,Age dependency ratio (% of working-age population),87.01977416,1960
Singapore,SGP,Age dependency ratio (% of working-age population),82.72572701,1960
Solomon Islands,SLB,Age dependency ratio (% of working-age population),82.75669556,1960
Sierra Leone,SLE,Age dependency ratio (% of working-age population),72.52134894,1960
El Salvador,SLV,Age dependency ratio (% of working-age population),93.44252322,1960
San Marino,SMR,Age dependency ratio (% of working-age population),0.0,1960
Somalia,SOM,Age dependency ratio (% of working-age population),83.67554087,1960
Serbia,SRB,Age dependency ratio (% of working-age population),57.3731774,1960
Sub-Saharan Africa (excluding high income),SSA,Age dependency ratio (% of working-age population),84.92754048,1960
South Sudan,SSD,Age dependency ratio (% of working-age population),79.45699267,1960
Sub-Saharan Africa,SSF,Age dependency ratio (% of working-age population),84.92688861,1960
Small states,SST,Age dependency ratio (% of working-age population),82.93557927,1960
Sao Tome and Principe,STP,Age dependency ratio (% of working-age population),58.39862035,1960
Suriname,SUR,Age dependency ratio (% of working-age population),105.6573984,1960
Slovak Republic,SVK,Age dependency ratio (% of working-age population),61.91545329,1960
Slovenia,SVN,Age dependency ratio (% of working-age population),54.89485815,1960
Sweden,SWE,Age dependency ratio (% of working-age population),51.9566048,1960
Eswatini,SWZ,Age dependency ratio (% of working-age population),95.27956509,1960
Sint Maarten (Dutch part),SXM,Age dependency ratio (% of working-age population),0.0,1960
Seychelles,SYC,Age dependency ratio (% of working-age population),81.37532078,1960
Syrian Arab Republic,SYR,Age dependency ratio (% of working-age population),101.9079548,1960
Turks and Caicos Islands,TCA,Age dependency ratio (% of working-age population),0.0,1960
Chad,TCD,Age dependency ratio (% of working-age population),81.14230056,1960
East Asia & Pacific (IDA & IBRD countries),TEA,Age dependency ratio (% of working-age population),78.4744386,1960
Europe & Central Asia (IDA & IBRD countries),TEC,Age dependency ratio (% of working-age population),61.81801558,1960
Togo,TGO,Age dependency ratio (% of working-age population),85.77775897,1960
Thailand,THA,Age dependency ratio (% of working-age population),85.35498996,1960
Tajikistan,TJK,Age dependency ratio (% of working-age population),80.72226456,1960
Turkmenistan,TKM,Age dependency ratio (% of working-age population),81.99437871,1960
Latin America & the Caribbean (IDA & IBRD countries),TLA,Age dependency ratio (% of working-age population),86.93477763,1960
Timor-Leste,TLS,Age dependency ratio (% of working-age population),77.53430705,1960
Middle East & North Africa (IDA & IBRD countries),TMN,Age dependency ratio (% of working-age population),87.8647142,1960
Tonga,TON,Age dependency ratio (% of working-age population),95.37997779,1960
South Asia (IDA & IBRD),TSA,Age dependency ratio (% of working-age population),77.57158141,1960
Sub-Saharan Africa (IDA & IBRD countries),TSS,Age dependency ratio (% of working-age population),84.92688861,1960
Trinidad and Tobago,TTO,Age dependency ratio (% of working-age population),86.23098648,1960
Tunisia,TUN,Age dependency ratio (% of working-age population),89.36965388,1960
Turkey,TUR,Age dependency ratio (% of working-age population),82.12293106,1960
Tuvalu,TUV,Age dependency ratio (% of working-age population),0.0,1960
Tanzania,TZA,Age dependency ratio (% of working-age population),92.64227564,1960
Uganda,UGA,Age dependency ratio (% of working-age population),94.10777468,1960
Ukraine,UKR,Age dependency ratio (% of working-age population),52.40933418,1960
Upper middle income,UMC,Age dependency ratio (% of working-age population),76.21502692,1960
Uruguay,URY,Age dependency ratio (% of working-age population),56.29945451,1960
United States,USA,Age dependency ratio (% of working-age population),66.13173531,1960
Uzbekistan,UZB,Age dependency ratio (% of working-age population),83.73434833,1960
St. Vincent and the Grenadines,VCT,Age dependency ratio (% of working-age population),115.830579,1960
"Venezuela, RB",VEN,Age dependency ratio (% of working-age population),93.58873825,1960
British Virgin Islands,VGB,Age dependency ratio (% of working-age population),0.0,1960
Virgin Islands (U.S.),VIR,Age dependency ratio (% of working-age population),86.54574676,1960
Vietnam,VNM,Age dependency ratio (% of working-age population),81.34451188,1960
Vanuatu,VUT,Age dependency ratio (% of working-age population),94.82716427,1960
World,WLD,Age dependency ratio (% of working-age population),73.70033741,1960
Samoa,WSM,Age dependency ratio (% of working-age population),106.4759551,1960
Kosovo,XKX,Age dependency ratio (% of working-age population),0.0,1960
"Yemen, Rep.",YEM,Age dependency ratio (% of working-age population),84.20332903,1960
South Africa,ZAF,Age dependency ratio (% of working-age population),80.63734961,1960
Zambia,ZMB,Age dependency ratio (% of working-age population),93.61949373,1960
Zimbabwe,ZWE,Age dependency ratio (% of working-age population),95.73294926,1960
Aruba,ABW,Age dependency ratio (% of working-age population),84.98965494,1961
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),89.00534973,1961
Afghanistan,AFG,Age dependency ratio (% of working-age population),82.68867813,1961
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),81.56196434,1961
Angola,AGO,Age dependency ratio (% of working-age population),84.62404984,1961
Albania,ALB,Age dependency ratio (% of working-age population),84.95448011,1961
Andorra,AND,Age dependency ratio (% of working-age population),0.0,1961
Arab World,ARB,Age dependency ratio (% of working-age population),89.48951082,1961
United Arab Emirates,ARE,Age dependency ratio (% of working-age population),87.19196271,1961
Argentina,ARG,Age dependency ratio (% of working-age population),57.78574676,1961
Armenia,ARM,Age dependency ratio (% of working-age population),84.78674064,1961
American Samoa,ASM,Age dependency ratio (% of working-age population),0.0,1961
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),89.84261752,1961
Australia,AUS,Age dependency ratio (% of working-age population),63.62505307,1961
Austria,AUT,Age dependency ratio (% of working-age population),53.37184133,1961
Azerbaijan,AZE,Age dependency ratio (% of working-age population),85.25059903,1961
Burundi,BDI,Age dependency ratio (% of working-age population),88.96086819,1961
Belgium,BEL,Age dependency ratio (% of working-age population),55.76312406,1961
Benin,BEN,Age dependency ratio (% of working-age population),78.43438053,1961
Burkina Faso,BFA,Age dependency ratio (% of working-age population),78.62635313,1961
Bangladesh,BGD,Age dependency ratio (% of working-age population),82.26794249,1961
Bulgaria,BGR,Age dependency ratio (% of working-age population),50.47790179,1961
Bahrain,BHR,Age dependency ratio (% of working-age population),83.0340888,1961
"Bahamas, The",BHS,Age dependency ratio (% of working-age population),85.6249093,1961
Bosnia and Herzegovina,BIH,Age dependency ratio (% of working-age population),71.00500025,1961
Belarus,BLR,Age dependency ratio (% of working-age population),60.86098345,1961
Belize,BLZ,Age dependency ratio (% of working-age population),100.3405966,1961
Bermuda,BMU,Age dependency ratio (% of working-age population),0.0,1961
Bolivia,BOL,Age dependency ratio (% of working-age population),84.50810851,1961
Brazil,BRA,Age dependency ratio (% of working-age population),87.00469844,1961
Barbados,BRB,Age dependency ratio (% of working-age population),83.0229215,1961
Brunei Darussalam,BRN,Age dependency ratio (% of working-age population),92.16170691,1961
Bhutan,BTN,Age dependency ratio (% of working-age population),80.5486304,1961
Botswana,BWA,Age dependency ratio (% of working-age population),93.99278044,1961
Central African Republic,CAF,Age dependency ratio (% of working-age population),76.7375443,1961
Canada,CAN,Age dependency ratio (% of working-age population),71.09696462,1961
Central Europe and the Baltics,CEB,Age dependency ratio (% of working-age population),57.52730382,1961
Switzerland,CHE,Age dependency ratio (% of working-age population),52.80017748,1961
Channel Islands,CHI,Age dependency ratio (% of working-age population),53.4371091,1961
Chile,CHL,Age dependency ratio (% of working-age population),76.48296264,1961
China,CHN,Age dependency ratio (% of working-age population),77.26000153,1961
Cote d'Ivoire,CIV,Age dependency ratio (% of working-age population),84.52823324,1961
Cameroon,CMR,Age dependency ratio (% of working-age population),78.71843185,1961
"Congo, Dem. Rep.",COD,Age dependency ratio (% of working-age population),86.61793201,1961
"Congo, Rep.",COG,Age dependency ratio (% of working-age population),83.74961466,1961
Colombia,COL,Age dependency ratio (% of working-age population),99.49214912,1961
Comoros,COM,Age dependency ratio (% of working-age population),82.04219409,1961
Cabo Verde,CPV,Age dependency ratio (% of working-age population),92.16356098,1961
Costa Rica,CRI,Age dependency ratio (% of working-age population),94.69626702,1961
Caribbean small states,CSS,Age dependency ratio (% of working-age population),91.93490792,1961
Cuba,CUB,Age dependency ratio (% of working-age population),65.9336898,1961
Curacao,CUW,Age dependency ratio (% of working-age population),85.79488539,1961
Cayman Islands,CYM,Age dependency ratio (% of working-age population),0.0,1961
Cyprus,CYP,Age dependency ratio (% of working-age population),74.49700595,1961
Czech Republic,CZE,Age dependency ratio (% of working-age population),53.52762829,1961
Germany,DEU,Age dependency ratio (% of working-age population),50.02672578,1961
Djibouti,DJI,Age dependency ratio (% of working-age population),84.55042122,1961
Dominica,DMA,Age dependency ratio (% of working-age population),0.0,1961
Denmark,DNK,Age dependency ratio (% of working-age population),55.59097714,1961
Dominican Republic,DOM,Age dependency ratio (% of working-age population),104.4460637,1961
Algeria,DZA,Age dependency ratio (% of working-age population),93.78550891,1961
East Asia & Pacific (excluding high income),EAP,Age dependency ratio (% of working-age population),78.98525156,1961
Early-demographic dividend,EAR,Age dependency ratio (% of working-age population),81.71311732,1961
East Asia & Pacific,EAS,Age dependency ratio (% of working-age population),76.96245454,1961
Europe & Central Asia (excluding high income),ECA,Age dependency ratio (% of working-age population),62.70634497,1961
Europe & Central Asia,ECS,Age dependency ratio (% of working-age population),58.60856723,1961
Ecuador,ECU,Age dependency ratio (% of working-age population),93.551267,1961
"Egypt, Arab Rep.",EGY,Age dependency ratio (% of working-age population),86.21641103,1961
Euro area,EMU,Age dependency ratio (% of working-age population),55.39744609,1961
Eritrea,ERI,Age dependency ratio (% of working-age population),86.27223351,1961
Spain,ESP,Age dependency ratio (% of working-age population),55.79850657,1961
Estonia,EST,Age dependency ratio (% of working-age population),51.07881996,1961
Ethiopia,ETH,Age dependency ratio (% of working-age population),85.81487501,1961
European Union,EUU,Age dependency ratio (% of working-age population),55.85803432,1961
Fragile and conflict affected situations,FCS,Age dependency ratio (% of working-age population),84.22596796,1961
Finland,FIN,Age dependency ratio (% of working-age population),60.02256312,1961
Fiji,FJI,Age dependency ratio (% of working-age population),101.7842455,1961
France,FRA,Age dependency ratio (% of working-age population),61.79780568,1961
Faroe Islands,FRO,Age dependency ratio (% of working-age population),0.0,1961
"Micronesia, Fed. Sts.",FSM,Age dependency ratio (% of working-age population),96.62300976,1961
Gabon,GAB,Age dependency ratio (% of working-age population),63.60498779,1961
United Kingdom,GBR,Age dependency ratio (% of working-age population),54.21575041,1961
Georgia,GEO,Age dependency ratio (% of working-age population),60.57835262,1961
Ghana,GHA,Age dependency ratio (% of working-age population),87.53249435,1961
Gibraltar,GIB,Age dependency ratio (% of working-age population),0.0,1961
Guinea,GIN,Age dependency ratio (% of working-age population),78.96893296,1961
"Gambia, The",GMB,Age dependency ratio (% of working-age population),80.80821811,1961
Guinea-Bissau,GNB,Age dependency ratio (% of working-age population),77.90531584,1961
Equatorial Guinea,GNQ,Age dependency ratio (% of working-age population),77.08451658,1961
Greece,GRC,Age dependency ratio (% of working-age population),52.91912122,1961
Grenada,GRD,Age dependency ratio (% of working-age population),119.4046704,1961
Greenland,GRL,Age dependency ratio (% of working-age population),0.0,1961
Guatemala,GTM,Age dependency ratio (% of working-age population),95.36306265,1961
Guam,GUM,Age dependency ratio (% of working-age population),71.31890259,1961
Guyana,GUY,Age dependency ratio (% of working-age population),101.6873622,1961
High income,HIC,Age dependency ratio (% of working-age population),61.12473225,1961
"Hong Kong SAR, China",HKG,Age dependency ratio (% of working-age population),77.68288196,1961
Honduras,HND,Age dependency ratio (% of working-age population),99.63860619,1961
Heavily indebted poor countries (HIPC),HPC,Age dependency ratio (% of working-age population),86.67977623,1961
Croatia,HRV,Age dependency ratio (% of working-age population),52.52536787,1961
Haiti,HTI,Age dependency ratio (% of working-age population),77.93949899,1961
Hungary,HUN,Age dependency ratio (% of working-age population),51.88096027,1961
IBRD only,IBD,Age dependency ratio (% of working-age population),77.55847133,1961
IDA & IBRD total,IBT,Age dependency ratio (% of working-age population),78.69664852,1961
IDA total,IDA,Age dependency ratio (% of working-age population),84.3920541,1961
IDA blend,IDB,Age dependency ratio (% of working-age population),82.35019002,1961
Indonesia,IDN,Age dependency ratio (% of working-age population),78.58315745,1961
IDA only,IDX,Age dependency ratio (% of working-age population),85.34305471,1961
Isle of Man,IMN,Age dependency ratio (% of working-age population),0.0,1961
India,IND,Age dependency ratio (% of working-age population),78.00710644,1961
Not classified,INX,Age dependency ratio (% of working-age population),0.0,1961
Ireland,IRL,Age dependency ratio (% of working-age population),72.93724624,1961
"Iran, Islamic Rep.",IRN,Age dependency ratio (% of working-age population),89.40067135,1961
Iraq,IRQ,Age dependency ratio (% of working-age population),81.11011562,1961
Iceland,ISL,Age dependency ratio (% of working-age population),75.9834857,1961
Israel,ISR,Age dependency ratio (% of working-age population),70.0158889,1961
Italy,ITA,Age dependency ratio (% of working-age population),53.06720493,1961
Jamaica,JAM,Age dependency ratio (% of working-age population),86.75031444,1961
Jordan,JOR,Age dependency ratio (% of working-age population),92.46051428,1961
Japan,JPN,Age dependency ratio (% of working-age population),54.1738528,1961
Kazakhstan,KAZ,Age dependency ratio (% of working-age population),74.47860857,1961
Kenya,KEN,Age dependency ratio (% of working-age population),103.3188439,1961
Kyrgyz Republic,KGZ,Age dependency ratio (% of working-age population),80.21868462,1961
